X Gaze Data, Y Gaze Data, Time 
1088,184,850492
1093,190,850507
1095,190,850523
1097,189,850538
1099,189,850554
1105,187,850570
1110,186,850585
1111,187,850601
1113,188,850617
1114,189,850632
1115,190,850648
1119,191,850663
1122,191,850679
1123,191,850695
1124,192,850710
1125,193,850726
1126,194,850742
1126,195,850757
1130,196,850773
1130,196,850788
1134,196,850804
1135,195,850820
1136,195,850835
1143,196,850851
1146,197,850855
1147,198,850866
1148,199,850882
1150,199,850898
1151,200,850913
1154,198,850929
1156,197,850945
1159,199,850960
1163,201,850976
1164,202,850991
1167,203,851007
1169,203,851023
1174,206,851038
1174,206,851054
1175,206,851069
1176,205,851070
1177,204,851085
1177,203,851101
1182,203,851116
1183,202,851132
1185,201,851148
1191,197,851163
1193,197,851179
1194,198,851194
1196,199,851210
1200,202,851226
1199,202,851241
1199,202,851257
1202,203,851273
1204,205,851288
1211,207,851304
1216,209,851320
1218,208,851335
1220,207,851351
1220,208,851366
1221,209,851382
1222,210,851398
1223,213,851413
1224,214,851429
1225,216,851445
1228,215,851460
1228,215,851476
1229,215,851491
1230,217,851507
1231,217,851523
1232,216,851538
1233,216,851554
1240,217,851570
1247,221,851585
1250,223,851601
1261,225,851616
1263,226,851632
1263,226,851648
1262,226,851663
1262,224,851679
1261,222,851695
1260,221,851710
1259,222,851726
1257,224,851741
1256,225,851757
1257,228,851773
1257,230,851788
1256,237,851804
1254,243,851820
1256,248,851835
1263,298,851851
1263,310,851866
1264,325,851882
1265,335,851898
1262,343,851914
1253,338,851929
1253,333,851945
1247,318,851960
1249,321,851976
1249,314,851992
1249,304,852007
1250,300,852023
1251,297,852038
1250,296,852054
1250,297,852070
1250,297,852085
1251,300,852101
1255,301,852117
1258,304,852132
1262,307,852148
1263,309,852164
1261,310,852179
1261,311,852195
1261,311,852210
1261,314,852226
1260,315,852242
1259,316,852257
1258,317,852273
1258,324,852289
1257,331,852304
1257,332,852320
1254,335,852335
1253,337,852351
1252,337,852367
1253,337,852382
1252,337,852398
1252,338,852414
1253,341,852429
1253,343,852445
1252,346,852460
1252,346,852476
1251,350,852492
1251,350,852507
1251,352,852523
1251,354,852539
1252,354,852554
1251,355,852570
1251,355,852585
1251,356,852601
1262,367,852617
1265,370,852632
1265,373,852648
1265,377,852664
1265,379,852679
1266,390,852695
1265,395,852710
1265,399,852726
1265,400,852742
1265,403,852757
1266,407,852773
1267,408,852789
1265,408,852804
1266,409,852820
1264,412,852835
1263,417,852851
1262,419,852867
1261,422,852882
1261,424,852898
1263,428,852914
1265,431,852929
1267,435,852945
1268,438,852960
1269,440,852976
1268,445,852992
1267,446,853007
1267,446,853023
1262,449,853039
1262,450,853054
1261,451,853070
1260,452,853085
1259,454,853101
1259,457,853117
1260,458,853132
1261,460,853148
1260,464,853164
1260,465,853179
1260,466,853195
1260,471,853210
1261,475,853226
1261,477,853242
1262,478,853257
1267,475,853273
1268,476,853289
1267,480,853304
1266,481,853320
1265,482,853335
1264,484,853351
1265,484,853367
1265,486,853382
1264,487,853398
1265,490,853414
1265,490,853429
1265,491,853445
1265,496,853460
1264,501,853476
1262,506,853492
1262,510,853507
1263,511,853523
1263,513,853539
1264,514,853554
1264,523,853570
1264,523,853585
1262,525,853601
1262,526,853617
1262,525,853632
1265,525,853648
1265,523,853664
1263,529,853679
1262,533,853695
1263,538,853711
1263,542,853726
1263,543,853742
1263,548,853757
1263,549,853773
1265,555,853789
1264,559,853804
1264,559,853820
1263,563,853835
1252,570,853851
1250,572,853867
1245,576,853882
1244,583,853898
1248,582,853914
1252,581,853929
1252,582,853945
1258,585,853960
1259,585,853976
1263,587,853992
1263,587,854007
1263,587,854023
1262,593,854039
1262,593,854054
1263,596,854070
1260,599,854085
1259,598,854101
1261,599,854117
1262,604,854132
1256,609,854148
1254,611,854164
1255,611,854179
1259,614,854195
1260,614,854210
1258,617,854226
1258,618,854242
1259,618,854257
1259,618,854273
1252,624,854289
1247,630,854304
1238,639,854320
1237,637,854335
1242,639,854351
1249,641,854367
1253,641,854382
1251,640,854398
1254,641,854414
1256,644,854429
1256,644,854445
1242,656,854460
1243,655,854476
1230,642,854492
1229,644,854507
1243,649,854523
1248,651,854539
1250,656,854554
1251,659,854570
1253,660,854585
1254,664,854601
1253,664,854617
1252,668,854632
1250,698,854648
1249,701,854664
1248,702,854679
1248,704,854685
1248,706,854702
1249,706,854717
1250,706,854733
1250,707,854748
1249,709,854764
1242,714,854780
1235,722,854795
1230,727,854811
1233,726,854827
1236,726,854842
1242,733,854858
1242,733,854873
1242,734,854889
1243,737,854905
1243,739,854920
1240,744,854936
1234,750,854952
1225,762,854967
1223,764,854983
1211,778,854998
1211,781,854999
1215,779,855014
1216,779,855030
1216,781,855045
1215,781,855061
1215,781,855077
1217,782,855092
1216,783,855113
1213,786,855124
1213,787,855139
1205,796,855155
1198,808,855170
1201,807,855186
1211,804,855202
1225,796,855217
1228,794,855233
1218,799,855248
1226,791,855264
1231,789,855280
1229,788,855295
1226,787,855311
1196,788,855327
1186,788,855342
1193,788,855358
1184,775,855374
1182,775,855389
1181,777,855405
1179,778,855420
1171,786,855436
1170,787,855452
1167,785,855467
1166,784,855483
1165,783,855499
1165,781,855514
1169,774,855530
1167,769,855545
1165,772,855561
1166,762,855577
1167,760,855592
1165,760,855608
1157,755,855624
1151,757,855639
1144,756,855655
1137,757,855670
1135,758,855686
1134,761,855702
1129,767,855717
1122,772,855733
1121,772,855749
1121,771,855764
1117,765,855780
1116,764,855795
1114,772,855811
1113,772,855827
1112,767,855842
1111,763,855858
1110,760,855874
1109,756,855889
1105,752,855905
1102,751,855920
1099,753,855936
1095,755,855952
1087,757,855967
1087,757,855983
1081,759,855999
1074,758,856014
1074,757,856030
1073,757,856045
1070,759,856051
1064,764,856069
1064,764,856084
1063,766,856100
1060,773,856116
1060,774,856131
1057,770,856147
1056,768,856163
1055,765,856178
1054,765,856194
1054,763,856209
1044,757,856225
1042,757,856241
1039,756,856256
1037,755,856272
1035,754,856288
1034,756,856303
1033,758,856319
1032,756,856334
1027,755,856350
1028,754,856366
1023,750,856381
1017,748,856397
1016,747,856413
1015,746,856428
1015,745,856444
1013,743,856459
1013,746,856475
1011,751,856491
1011,751,856506
1007,750,856522
1006,749,856537
1005,747,856553
1000,742,856569
999,742,856584
984,730,856600
983,730,856616
982,730,856631
978,736,856647
976,737,856663
978,737,856678
977,737,856694
976,736,856709
975,736,856725
973,737,856741
969,737,856756
966,737,856772
965,737,856788
962,740,856803
961,740,856819
958,739,856834
957,738,856850
950,736,856866
944,734,856881
940,734,856897
938,734,856913
934,737,856928
933,736,856944
932,736,856959
931,737,856975
926,737,856991
926,737,857006
920,738,857022
914,737,857037
914,737,857053
909,734,857069
908,733,857084
901,737,857100
897,738,857116
896,737,857131
894,737,857147
893,738,857162
893,739,857163
892,740,857178
891,740,857194
889,740,857209
881,744,857225
881,744,857241
879,741,857256
879,740,857272
874,738,857287
872,737,857303
864,738,857319
862,737,857334
858,737,857350
856,739,857366
853,741,857381
851,742,857397
848,737,857412
